T,psma,hlinucb,tsicf,gcl2c,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,5.790440,6.436410,6.797208,5.981979,6.505329
40,10.082111,12.665311,13.626635,10.864189,13.201698
60,13.481529,18.836673,20.289140,15.022371,19.592417
80,16.339608,24.958009,26.806488,18.767246,25.914115
100,18.766861,31.134000,33.378985,22.217145,32.161887
120,20.995308,37.161666,40.019010,25.403955,38.436183
140,23.091215,42.992557,46.537151,28.383563,44.589982
160,25.069050,48.914221,53.092911,31.184297,50.719669
180,26.983320,54.663972,59.598632,33.946485,56.843835
200,28.751405,60.455658,65.865649,36.503677,62.941658
220,30.349046,66.062066,72.437912,38.933921,69.048210
240,31.895332,71.706282,78.910488,41.131538,75.084543
260,33.405699,77.399420,85.243020,43.302652,81.041773
280,34.808633,82.920280,91.524960,45.312763,86.932134
300,36.217591,88.336776,97.884251,47.342396,93.059961
320,37.658458,93.684700,104.151610,49.304501,99.070451
340,39.045797,98.904476,110.317477,51.159041,104.907900
360,40.446797,104.024327,116.393969,52.990687,110.476013
380,41.841592,109.289500,122.731785,54.758476,116.220769
400,43.220355,114.482333,129.050165,56.599299,121.894119
420,44.494062,119.861016,135.425824,58.352679,127.689401
440,45.768044,125.095775,141.725941,60.112868,133.438601
460,46.993616,130.384759,148.099138,61.762280,139.213145
480,48.205648,135.933811,154.470750,63.462064,145.039442
500,49.401340,141.460015,160.909245,65.167047,150.773350
520,50.630875,146.902828,167.214126,66.805286,156.607712
540,51.758364,152.358925,173.527201,68.392781,162.258160
560,52.936578,157.804632,179.771604,69.926232,168.064956
580,54.140165,163.300012,186.047905,71.502577,173.763665
600,55.341154,168.662330,192.169467,73.114812,179.483950
620,56.492243,174.038805,198.330921,74.671902,185.155579
640,57.605583,179.648798,204.447534,76.191472,190.846329
660,58.707156,185.142809,210.568604,77.662287,196.454003
680,59.734469,190.542520,216.648497,79.061701,201.920316
700,60.812885,195.999491,222.805765,80.466435,207.446624
720,61.786925,201.430062,228.886597,81.849507,213.085222
740,62.903948,206.838770,234.818675,83.286112,218.684085
760,63.938595,212.275856,240.878434,84.672671,224.167869
780,64.966964,217.624945,246.883612,86.061544,229.773660
800,65.948562,222.889469,253.007380,87.387440,235.392807
820,66.911108,228.102011,259.071093,88.750314,241.107638
840,67.880139,233.417517,265.215472,90.094072,246.588883
860,68.859697,238.626091,271.314472,91.462930,252.057854
880,69.807077,243.882677,277.385584,92.776668,257.564203
900,70.728724,249.224482,283.433391,94.127231,263.102909
920,71.630339,254.428795,289.578936,95.386443,268.579698
940,72.438416,259.522663,295.780066,96.504910,273.785068
960,73.216084,264.608920,301.936264,97.611070,279.047475
980,74.070600,269.607591,307.989182,98.717634,284.268724
1000,74.832522,274.530025,314.097156,99.807027,289.530725
1020,75.621794,279.667604,320.308911,100.918240,294.707404
1040,76.389519,284.880082,326.379265,101.978862,299.907543
1060,77.181822,290.316435,332.504887,103.057251,305.178918
1080,77.970612,295.741903,338.553838,104.074960,310.332083
1100,78.798897,301.074020,344.601251,105.152053,315.451190
1120,79.540076,306.372185,350.623450,106.219146,320.618995
1140,80.356000,311.676890,356.689966,107.384312,325.648125
1160,81.160414,317.119959,362.857068,108.539048,330.906846
1180,81.957753,322.729902,368.921012,109.743872,336.123311
1200,82.738569,328.290304,375.097651,110.899006,341.348675
1220,83.563068,333.763345,381.294304,111.935718,346.643524
1240,84.343921,339.228432,387.458693,112.949381,351.935814
1260,85.077953,344.844858,393.341135,114.003178,357.208904
1280,85.771321,350.356736,399.357971,115.010751,362.485820
1300,86.522110,355.887452,405.386889,116.007211,367.553662
1320,87.306330,361.395099,411.328577,117.147087,372.752264
1340,88.045186,366.873675,417.297109,118.169128,377.930468
1360,88.732011,372.254069,423.267797,119.179971,383.074829
1380,89.461361,377.385502,429.163768,120.151890,388.315258
1400,90.199843,382.633379,435.201253,121.076316,393.408968
1420,90.972167,387.605844,441.205483,121.974397,398.464159
1440,91.702729,392.594093,447.189069,122.865625,403.583728
1460,92.337992,397.627677,453.318339,123.752628,408.507207
1480,93.026673,402.665141,459.340487,124.690508,413.578276
1500,93.676781,407.694239,465.408674,125.667697,418.573681
1520,94.306304,412.750945,471.607945,126.528416,423.715631
1540,94.979902,417.820711,477.895805,127.369186,428.805039
1560,95.625495,422.799892,484.087144,128.335700,433.973777
1580,96.266264,427.867896,490.229036,129.336170,439.093386
1600,96.961170,433.101600,496.425147,130.329256,444.260080
1620,97.596850,438.478230,502.619294,131.314317,449.500137
1640,98.217480,443.973915,508.926475,132.212463,454.627767
1660,98.883001,449.354510,515.208743,133.038635,459.822622
1680,99.505776,454.642234,521.478730,133.874950,464.871802
1700,100.103258,459.892822,527.703401,134.700696,469.768443
1720,100.682244,465.145348,533.841407,135.488875,474.898520
1740,101.264891,470.326851,539.945626,136.255306,479.976834
1760,101.913070,475.544012,546.288827,137.075435,485.100312
1780,102.488848,480.983977,552.679785,137.840571,490.184310
1800,103.016018,486.409142,558.876744,138.682368,495.244092
1820,103.616906,491.868432,565.080952,139.532885,500.421721
1840,104.184314,497.209582,571.357444,140.347075,505.678240
1860,104.754091,502.512993,577.741575,141.177758,510.990901
1880,105.430476,507.810156,584.077416,141.991297,516.193040
1900,106.019890,513.074791,590.436168,142.797738,521.307027
1920,106.599858,518.443414,596.767708,143.553024,526.439894
1940,107.201061,523.706667,603.064588,144.276868,531.595078
1960,107.806811,528.948530,609.401704,145.083497,536.772967
1980,108.350306,534.095318,615.759373,145.833396,541.853960
2000,108.926619,539.129677,622.100786,146.584691,546.922208
