T,psma,hlinucb,tsicf,gcl2c,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,3.631649,3.882389,4.231897,3.773596,4.077161
40,6.232032,7.668437,8.529424,6.875488,8.293748
60,8.329522,11.392448,12.730091,9.558962,12.326020
80,10.101431,15.167360,16.839193,12.011880,16.338195
100,11.682951,18.912337,20.953238,14.243200,20.276566
120,13.139692,22.614554,25.098652,16.334200,24.228923
140,14.498834,26.256806,29.198239,18.288080,28.165618
160,15.812520,29.904518,33.298676,20.138917,32.062652
180,17.087722,33.469747,37.407933,21.922938,35.979352
200,18.147283,36.986972,41.368162,23.612037,39.900926
220,19.154367,40.446583,45.531925,25.176272,43.772410
240,20.132517,43.878429,49.653730,26.617639,47.669637
260,21.108082,47.383621,53.711775,28.073768,51.564771
280,21.984311,50.786291,57.728795,29.453306,55.354880
300,22.892577,54.157620,61.736411,30.811008,59.309220
320,23.813598,57.494885,65.747825,32.174253,63.173289
340,24.718550,60.734908,69.703212,33.422488,66.988498
360,25.568681,63.958322,73.568892,34.645998,70.647815
380,26.373408,67.280341,77.591997,35.783741,74.344919
400,27.225343,70.599394,81.628764,36.963533,78.058745
420,28.022206,73.936373,85.710069,38.098209,81.860467
440,28.756088,77.183799,89.704845,39.237949,85.579580
460,29.513684,80.437763,93.757642,40.399953,89.290514
480,30.271823,83.854919,97.812148,41.526309,93.048296
500,31.022327,87.292367,101.904718,42.595254,96.792743
520,31.746464,90.671754,105.952476,43.717037,100.561392
540,32.492384,94.022365,109.996137,44.785865,104.286556
560,33.221528,97.329603,113.975598,45.853245,107.998591
580,33.951441,100.583436,117.963653,46.880765,111.680050
600,34.680408,103.750480,121.837090,47.971790,115.347062
620,35.373395,106.841765,125.720070,48.963073,118.972347
640,36.085635,110.102581,129.542090,50.034942,122.575654
660,36.795947,113.333722,133.392642,50.993010,126.182556
680,37.469530,116.518808,137.273949,51.959232,129.759267
700,38.139579,119.784673,141.197877,52.961836,133.338672
720,38.797939,123.010202,145.055829,53.898368,136.919203
740,39.456725,126.190952,148.818018,54.877473,140.484611
760,40.129371,129.395706,152.662918,55.798385,144.053198
780,40.702910,132.538099,156.465984,56.624219,147.617868
800,41.310068,135.591156,160.351271,57.446465,151.249329
820,41.889601,138.700321,164.164994,58.291098,154.886390
840,42.508621,141.867280,168.003489,59.149647,158.422249
860,43.091987,144.994202,171.822085,60.046724,161.980184
880,43.689648,148.156981,175.662136,60.929193,165.443474
900,44.252468,151.285858,179.458221,61.781560,168.951217
920,44.839283,154.383409,183.340275,62.618040,172.512357
940,45.321427,157.454462,187.254331,63.392596,175.915038
