T,psma,hlinucb,tsicf,gcl2c,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,4.386012,4.586876,4.789253,4.541551,4.690555
40,7.713581,8.693927,9.456822,8.252869,9.334966
60,10.419156,12.684287,14.111091,11.671382,14.020123
80,12.738353,16.605452,18.760923,14.805659,18.631208
100,14.927371,20.559342,23.355525,17.791765,23.296488
120,16.924557,24.502160,27.898068,20.536497,27.771403
140,18.791541,28.375891,32.358643,23.159631,32.224289
160,20.538318,32.174014,36.802802,25.596511,36.685158
180,22.230575,36.025598,41.311253,27.978742,41.211060
200,23.769525,39.935755,45.838106,30.275992,45.721138
220,25.155361,43.777779,50.328441,32.447261,50.225658
240,26.530694,47.715089,54.895282,34.462793,54.743816
260,27.874588,51.741514,59.396449,36.445414,59.289808
280,29.120564,55.825028,63.918334,38.386797,63.750017
300,30.259099,60.060270,68.419977,40.171332,68.223481
320,31.410900,64.221460,72.966591,41.986028,72.687871
340,32.489784,68.289799,77.482878,43.641584,77.145059
360,33.502198,72.388329,82.051723,45.246665,81.603059
380,34.529371,76.463617,86.656580,46.896323,86.054123
400,35.497665,80.554558,91.221679,48.415322,90.551128
420,36.500149,84.783793,95.841499,49.965241,94.915209
440,37.501996,89.016538,100.529365,51.432936,99.386595
460,38.406831,93.250245,105.313811,52.901908,103.830273
480,39.254471,97.390404,110.089458,54.296034,108.234874
500,40.146342,101.492635,114.694570,55.736034,112.669917
520,41.032742,105.481760,119.149567,57.043157,116.951541
540,41.881428,109.484011,123.592485,58.361987,121.203492
560,42.762973,113.519859,128.001682,59.726068,125.532056
580,43.547090,117.654403,132.458982,60.973624,129.907074
600,44.339255,121.753778,136.885415,62.211127,134.205838
620,45.114269,125.827433,141.389880,63.405011,138.408160
640,45.851910,129.924417,145.838441,64.627895,142.725712
660,46.565508,133.976191,150.232779,65.769642,147.098083
680,47.331365,138.065626,154.702138,66.918172,151.489529
700,48.078467,142.204035,159.119483,67.991652,155.768500
720,48.820588,146.291967,163.616921,69.049123,160.066262
740,49.530519,150.425103,168.242811,70.148191,164.401241
760,50.252180,154.519688,172.654663,71.245323,168.725938
780,50.991434,158.668539,177.229135,72.361009,173.056420
800,51.690142,162.892238,181.770820,73.479323,177.407466
820,52.370785,167.003065,186.343838,74.527940,181.741460
840,53.030453,171.136495,190.813776,75.613080,186.046277
860,53.683876,175.133325,195.302531,76.674824,190.317936
880,54.291905,179.118789,199.888312,77.653953,194.596496
900,54.890165,183.093348,204.392424,78.654439,198.851423
920,55.484428,187.079022,208.958174,79.588109,203.111992
940,56.063562,190.979925,213.521701,80.516416,207.389903
960,56.655601,194.794079,217.995769,81.456327,211.660731
980,57.272797,198.648736,222.436433,82.400631,215.961809
1000,57.875251,202.543504,226.876320,83.293871,220.315921
1020,58.461451,206.476962,231.360910,84.155312,224.619225
1040,59.030553,210.370304,235.867952,85.065168,228.860056
1060,59.623765,214.313745,240.376083,85.946884,233.039904
1080,60.198086,218.274312,244.960386,86.791494,237.218560
1100,60.706231,222.232290,249.440090,87.591478,241.359353
1120,61.215071,226.229246,253.916566,88.382956,245.590793
1140,61.739429,230.251427,258.354953,89.187156,249.770845
1160,62.275170,234.335759,262.733194,89.958589,253.931741
1180,62.867495,238.511141,267.319202,90.784031,258.095684
1200,63.396660,242.499779,271.862983,91.582505,262.361770
1220,63.947084,246.555875,276.376744,92.407079,266.545857
1240,64.499079,250.559694,280.959992,93.230644,270.684397
1260,65.064152,254.533449,285.479517,94.045840,274.911909
1280,65.677684,258.482762,290.065915,94.879761,279.119925
1300,66.232131,262.465941,294.683541,95.737556,283.295630
1320,66.811497,266.403714,299.067651,96.586858,287.401374
1340,67.429343,270.325845,303.615798,97.470734,291.512207
1360,68.022275,274.253335,308.176582,98.357011,295.667371
1380,68.560150,278.181285,312.689537,99.190485,299.776441
1400,69.160467,282.140970,317.318458,100.026726,303.953152
1420,69.774831,286.124810,321.946329,100.840616,308.121210
1440,70.357406,290.075760,326.442902,101.662405,312.158448
1460,70.873548,294.096778,330.941213,102.487118,316.147322
1480,71.423007,298.144149,335.405279,103.290108,320.188664
1500,71.898767,302.114715,339.895714,104.067838,324.143542
1520,72.384399,306.085508,344.382380,104.810813,328.080000
1540,72.941058,310.074215,348.803921,105.632867,332.102402
1560,73.507564,314.049323,353.275669,106.380981,336.068559
1580,74.023095,318.031381,357.680370,107.154605,340.065660
1600,74.573423,322.095662,362.146024,107.930803,344.126470
1620,75.116473,326.100633,366.599194,108.687690,348.131145
1640,75.664738,329.884957,371.046762,109.477810,352.142382
1660,76.171616,333.680892,375.518237,110.237846,356.242107
1680,76.633391,337.505335,380.018921,111.019644,360.241033
1700,77.130817,341.361055,384.601706,111.795149,364.290515
1720,77.645043,345.154410,389.185853,112.526548,368.275082
