T,psma,hlinucb,tsicf,gcl2c,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,3.668061,3.939175,4.231662,3.762501,4.075400
40,6.275153,7.766290,8.531561,6.806319,8.294480
60,8.308777,11.568732,12.736988,9.414989,12.322934
80,10.067053,15.405837,16.842358,11.789979,16.342292
100,11.629519,19.260708,20.964317,13.957441,20.282902
120,13.037467,23.057340,25.093288,15.987224,24.229612
140,14.351118,26.791432,29.182250,17.912718,28.155169
160,15.548406,30.580279,33.312627,19.722782,32.045739
180,16.757393,34.259135,37.420967,21.360387,35.947382
200,17.815924,37.928236,41.391664,22.910748,39.862036
220,18.788203,41.502995,45.558830,24.400825,43.748865
240,19.698614,45.005836,49.684153,25.704636,47.668056
260,20.606607,48.529708,53.738964,27.050479,51.575249
280,21.380888,51.997441,57.768926,28.219742,55.381160
300,22.220798,55.449877,61.774311,29.426614,59.304130
320,23.101441,58.870301,65.784889,30.592211,63.202177
340,23.966658,62.209021,69.740861,31.681051,66.973206
360,24.784836,65.453320,73.586322,32.789128,70.661702
380,25.515327,68.786082,77.599905,33.839600,74.362134
400,26.283001,72.117325,81.656219,34.960962,78.092219
420,27.017268,75.505246,85.731852,35.966200,81.868482
440,27.758127,78.851687,89.726193,37.004617,85.588211
460,28.492682,82.158487,93.760585,38.019789,89.309053
480,29.190572,85.574946,97.826557,39.056682,93.063150
500,29.875793,89.006633,101.916092,40.071287,96.813418
520,30.578895,92.367507,105.955339,41.098315,100.585544
540,31.273671,95.704341,109.972882,42.077216,104.271680
560,31.964553,98.971533,113.909677,43.043820,108.007311
580,32.603000,102.212071,117.915172,43.969210,111.728811
600,33.256820,105.461667,121.787682,44.962533,115.396120
620,33.897161,108.670560,125.671794,45.859201,119.002852
640,34.522583,112.040097,129.535329,46.773867,122.619532
660,35.190669,115.388160,133.394457,47.655146,126.216691
680,35.855078,118.603955,137.257324,48.486303,129.786714
700,36.498001,121.846729,141.183251,49.364499,133.325111
720,37.083608,125.062986,145.052160,50.194780,136.920843
740,37.691868,128.307315,148.813619,51.074340,140.503381
760,38.289556,131.521827,152.652469,51.914235,144.003222
780,38.808252,134.671164,156.452964,52.711002,147.551180
800,39.386989,137.750265,160.348408,53.452007,151.182069
820,39.932948,140.824073,164.146143,54.200109,154.804530
840,40.515776,143.919443,167.970088,55.007014,158.365167
860,41.077780,146.976235,171.756790,55.854840,161.885479
880,41.674720,150.110967,175.601319,56.691521,165.369978
900,42.202595,153.205154,179.406545,57.523939,168.923461
