T,psma,hlinucb,tsicf,gcl2c,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,3.566051,4.191386,4.334335,3.783810,4.154062
40,5.980483,8.237380,8.597829,6.818444,8.322874
60,7.960662,12.072400,12.705522,9.473492,12.389730
80,9.649676,15.875787,16.885356,11.820887,16.429333
100,11.181163,19.774663,21.016384,14.019683,20.387739
120,12.539297,23.632788,25.060435,16.029956,24.436601
140,13.869082,27.437844,29.070167,17.855120,28.324759
160,15.042602,31.167741,33.094049,19.623226,32.223568
180,16.141500,34.990847,37.037674,21.192523,36.068151
200,17.238911,38.764259,41.054373,22.802069,40.011765
220,18.345886,42.567050,45.195375,24.337098,43.921759
240,19.342171,46.382081,49.179647,25.820745,47.794538
260,20.276875,50.262257,53.142475,27.196135,51.600026
280,21.162643,54.118117,57.011908,28.530161,55.462241
300,22.008028,57.909582,60.954088,29.860723,59.266199
320,22.814488,61.559359,64.866552,31.196140,63.059026
340,23.657099,65.190652,68.710062,32.504630,66.798852
360,24.529834,68.815948,72.570906,33.772714,70.541319
380,25.347794,72.455875,76.508202,35.009546,74.283310
400,26.195448,76.045587,80.344728,36.276763,77.993293
420,26.984410,79.635713,84.205575,37.535553,81.683893
440,27.729047,83.349788,88.135649,38.735839,85.381560
460,28.533252,86.929305,92.091571,39.887086,88.997680
480,29.301991,90.488843,96.027531,41.050023,92.644757
500,30.027826,94.113070,99.957500,42.269667,96.291444
520,30.701534,97.808993,103.829282,43.347375,99.879259
540,31.403176,101.479191,107.726126,44.377254,103.372555
560,32.086709,104.972836,111.435125,45.421514,106.888373
580,32.768229,108.555375,115.262108,46.447278,110.518688
600,33.445748,112.011575,119.110519,47.482219,114.102529
620,34.133272,115.567745,123.039590,48.485537,117.731399
640,34.829906,119.193867,126.944280,49.531127,121.385258
660,35.478722,122.838598,130.824169,50.535794,125.031390
680,36.162201,126.502577,134.660409,51.497168,128.625302
700,36.821054,130.114675,138.472797,52.475514,132.341891
720,37.498634,133.589339,142.341776,53.485289,135.999236
740,38.130040,137.062518,146.363855,54.460135,139.647199
760,38.740289,140.627007,150.404816,55.451723,143.325796
780,39.373600,144.157765,154.357131,56.439209,147.117709
800,39.963924,147.686119,158.305756,57.366726,150.923514
820,40.580389,151.283716,162.323739,58.246503,154.730781
840,41.171767,154.896265,166.293751,59.124135,158.561329
860,41.723703,158.414245,170.157483,60.005607,162.247335
880,42.244454,161.860625,174.137620,60.879059,165.933372
900,42.781171,165.316794,178.053222,61.740193,169.562595
920,43.355301,168.797783,182.047903,62.642425,173.177873
940,43.926075,172.291561,185.943051,63.538284,176.748607
960,44.468991,175.742615,189.739811,64.411521,180.331837
980,45.055764,179.293452,193.602059,65.270536,183.865967
1000,45.601571,182.702446,197.462112,66.023714,187.403438
1020,46.109043,186.093265,201.425866,66.791378,190.992523
1040,46.603688,189.456271,205.280610,67.590815,194.535652
1060,47.062245,192.829910,209.185822,68.328268,197.925173
1080,47.520888,196.084783,213.075632,69.004341,201.369970
1100,48.006912,199.428116,216.903517,69.707122,204.877537
1120,48.449605,202.852277,220.732361,70.406833,208.395371
1140,48.941611,206.284978,224.601326,71.153244,211.877091
1160,49.407803,209.707441,228.469991,71.847086,215.399957
1180,49.840836,213.233724,232.519899,72.538163,218.912758
1200,50.285495,216.823392,236.472397,73.235278,222.332891
1220,50.737341,220.352976,240.500443,73.894240,225.953376
1240,51.166193,223.954655,244.446836,74.573160,229.579301
1260,51.564901,227.611372,248.598363,75.240853,233.209589
1280,51.998145,231.265346,252.694940,75.889851,236.828391
1300,52.411065,234.787710,256.738680,76.534491,240.433969
1320,52.847177,238.298009,260.564370,77.180143,243.943706
1340,53.296093,241.776898,264.429109,77.842134,247.468160
