T,psma,hlinucb,tsicf,gcl,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,8.360337,11.947530,11.502154,10.423311,12.357117
40,13.058902,22.755332,19.393564,18.592447,24.113544
60,16.462317,33.332697,25.247630,25.765788,35.389556
80,19.038407,43.714525,29.920059,32.219827,46.444288
100,21.247181,54.083199,33.858801,37.584582,57.129770
120,23.231476,64.425992,37.239594,42.517936,67.625478
140,25.085454,74.737127,40.077647,46.918609,77.780527
160,26.762429,85.052963,42.794444,51.206408,87.744122
180,28.232816,95.379805,45.280789,55.182852,97.468694
200,29.615792,105.689605,47.577451,58.975603,107.125700
220,30.859673,115.988636,49.909825,62.381642,116.617528
240,31.949678,126.311678,52.049647,65.646141,125.888459
260,32.943945,136.640509,54.020032,68.889425,135.125247
280,33.881626,146.956886,55.930321,71.984390,144.003661
300,34.762563,157.289591,57.677753,74.974120,152.807736
320,35.608047,167.609573,59.452620,77.869831,161.608847
340,36.330198,177.939466,61.274902,80.857711,170.189797
360,37.064848,188.256859,62.895430,83.807104,178.592310
380,37.797216,198.575864,64.457763,86.433485,186.979192
400,38.487503,208.923792,65.966727,89.060053,195.181434
420,39.123406,219.241272,67.405143,91.490222,203.232457
440,39.729147,229.579035,68.857558,93.968539,211.080234
460,40.349472,239.913054,70.321834,96.271681,218.921360
480,40.954956,250.240021,71.736849,98.703150,226.494820
500,41.485609,260.559486,73.229542,100.896544,234.117640
520,42.055572,270.903134,74.653231,103.004225,241.729832
540,42.613924,281.225055,75.879612,105.080465,249.153517
560,43.103071,291.539981,77.117980,107.131771,256.643819
580,43.613648,301.846589,78.351255,109.245488,263.984655
600,44.080938,312.173343,79.559614,111.029819,271.273638
620,44.598469,322.489466,80.737671,112.866935,278.726753
640,45.073409,332.809717,81.915005,114.684380,285.780772
660,45.511112,343.133249,83.021011,116.466182,292.944658
680,45.944606,353.463432,84.176848,118.221007,299.892567
700,46.372897,363.795690,85.379734,119.972777,306.952461
720,46.746513,374.130772,86.536054,121.677125,313.746385
740,47.146764,384.453036,87.640872,123.321777,320.684179
760,47.551907,394.776495,88.695459,124.921976,327.406152
780,47.985446,405.107553,89.803492,126.565567,334.021023
800,48.403703,415.442100,90.927759,128.188389,340.662370
820,48.815544,425.775680,91.994536,129.657688,347.291909
840,49.213883,436.118063,93.047651,131.240679,353.818967
860,49.558670,446.437637,94.039026,132.732742,360.304415
880,49.948098,456.768309,95.088200,134.213200,366.862782
900,50.312854,467.087514,96.096793,135.648540,373.418509
920,50.673396,477.411152,97.094595,137.085157,379.948060
940,51.004355,487.743470,98.072283,138.540314,386.256419
960,51.335105,498.074923,99.087878,139.893587,392.679299
980,51.687421,508.390373,100.063062,141.207638,398.810683
1000,52.033476,518.716713,101.018930,142.628924,405.042878
1020,52.403193,529.046938,101.952964,143.878920,411.053100
1040,52.736576,539.371950,102.870403,145.154792,417.024261
1060,53.052814,549.697557,103.837475,146.384827,423.112650
1080,53.388757,560.022444,104.772699,147.595626,428.999521
1100,53.663016,570.343967,105.670460,148.831554,435.071361
1120,53.925052,580.666534,106.559171,150.051827,440.930650
1140,54.219682,590.996597,107.434045,151.309008,446.839110
1160,54.498227,601.317580,108.314245,152.493542,452.435046
1180,54.786564,611.635474,109.170532,153.591559,458.280375
1200,55.050622,621.958867,110.048515,154.629298,464.142038
1220,55.305439,632.296426,110.919624,155.737201,469.543823
1240,55.578073,642.641190,111.759053,156.937084,475.169949
1260,55.829414,652.965533,112.560855,158.046583,480.581207
1280,56.105520,663.301343,113.438857,159.184398,485.945660
1300,56.368833,673.621627,114.288246,160.188167,491.256949
1320,56.621993,683.936679,115.151569,161.235650,496.824781
1340,56.897426,694.265879,115.974844,162.292535,502.196045
1360,57.145348,704.607623,116.794517,163.375439,507.720907
1380,57.373893,714.933957,117.584176,164.443918,512.962725
1400,57.580305,725.261004,118.404923,165.488663,518.500112
1420,57.791980,735.616676,119.234157,166.506386,523.823783
1440,58.008904,745.946503,120.018698,167.612021,529.115578
1460,58.202221,756.277669,120.805563,168.590490,534.477134
1480,58.403467,766.616583,121.585667,169.654083,539.823308
1500,58.585665,776.951562,122.368208,170.663425,544.889704
1520,58.772720,787.279550,123.157709,171.675670,549.933898
1540,58.969177,797.623995,123.986575,172.698418,555.350712
1560,59.164191,807.974480,124.752317,173.588139,560.673189
1580,59.353201,818.303293,125.546951,174.516527,565.682285
1600,59.541572,828.626649,126.372917,175.408999,570.728014
1620,59.746857,838.934594,127.115005,176.332814,575.832144
1640,59.912961,849.256204,127.899454,177.234452,580.910631
1660,60.123280,859.567732,128.636128,178.081452,585.811670
1680,60.311920,869.919641,129.372965,178.984874,590.821363
1700,60.483283,880.254659,130.133648,179.883547,595.727313
1720,60.656913,890.577208,130.856246,180.686357,600.502343
1740,60.819428,900.884613,131.622395,181.501646,605.401272
1760,60.993066,911.200921,132.390226,182.357542,610.329316
1780,61.151923,921.522140,133.188602,183.277615,614.981211
1800,61.333564,931.845547,133.903639,184.112368,619.541488
1820,61.518238,942.163363,134.671972,185.006782,624.071393
1840,61.689792,952.492912,135.415479,185.881402,628.744416
1860,61.864773,962.817198,136.189293,186.703556,633.476902
1880,62.026901,973.157465,136.916709,187.509271,638.137965
1900,62.177684,983.469561,137.664197,188.377261,642.595392
1920,62.343608,993.811508,138.378623,189.190699,647.191622
1940,62.517280,1004.127690,139.051196,190.064468,651.806942
1960,62.677415,1014.465789,139.755260,190.874297,656.302816
1980,62.832897,1024.806101,140.514569,191.701562,660.831184
2000,62.992811,1035.128086,141.221662,192.490583,665.315205
