T,psma,hlinucb,tsicf,gcl,glmucb
0,0.000000,0.000000,0.000000,0.000000,0.000000
20,4.215815,6.528292,6.172702,5.814350,6.624835
40,6.378469,12.666939,10.223854,10.522535,12.928957
60,7.960693,18.652313,13.045760,14.669417,19.142630
80,9.147488,24.653844,15.332016,18.507107,25.235772
100,10.084803,30.569592,17.159124,21.827092,31.179913
120,10.905449,36.495110,18.691986,24.912574,37.076418
140,11.641889,42.450009,20.101926,27.794787,42.811901
160,12.292507,48.407414,21.317246,30.502946,48.582319
180,12.946355,54.419355,22.461938,33.086429,54.219964
200,13.499035,60.336574,23.392343,35.499226,59.756978
220,14.037323,66.106046,24.322572,37.793195,65.215692
240,14.563986,71.856247,25.102033,39.957640,70.626768
260,15.068114,77.576621,25.917198,42.051872,75.999054
280,15.528757,83.266177,26.764744,44.121190,81.303319
300,15.977930,88.875353,27.544419,46.060492,86.587134
320,16.384496,94.352424,28.280395,47.882988,91.738488
340,16.793182,99.866158,28.972777,49.794137,96.967730
360,17.153554,105.430138,29.685681,51.643880,102.085685
380,17.524381,110.995295,30.364415,53.377589,107.163630
400,17.862823,116.503444,30.957937,55.075282,112.262624
420,18.148104,121.962283,31.502255,56.726459,117.184836
440,18.451471,127.417110,32.106538,58.257968,122.231228
460,18.746680,132.832131,32.700820,59.822620,127.104682
480,18.992168,138.219325,33.230461,61.470834,132.032945
500,19.272484,143.597895,33.728834,62.994538,136.882953
520,19.549693,148.967910,34.233981,64.492284,141.593379
540,19.792526,154.354346,34.750210,65.880359,146.360595
560,20.015900,159.744094,35.241139,67.241813,151.057722
580,20.253137,165.122123,35.739602,68.614411,155.734380
600,20.451351,170.509198,36.203364,69.909273,160.391110
620,20.652501,175.895960,36.653575,71.231611,165.020226
640,20.831798,181.284367,37.132688,72.469806,169.597542
660,21.024643,186.660720,37.572680,73.725165,174.064379
680,21.214505,192.038325,38.001279,74.986455,178.622931
700,21.387052,197.406044,38.421883,76.151175,183.236613
720,21.572496,202.788177,38.846472,77.308667,187.790526
740,21.735986,208.167719,39.256197,78.451387,192.223834
760,21.923672,213.554864,39.653520,79.578385,196.718032
780,22.111079,218.933134,40.041178,80.690448,201.098492
800,22.266306,224.321392,40.447840,81.767660,205.493329
820,22.438043,229.693743,40.859151,82.816329,209.749362
840,22.587898,235.079892,41.239536,83.886309,214.118742
860,22.733383,240.465992,41.592146,84.925534,218.349619
880,22.876196,245.843817,41.979209,85.932442,222.662738
900,23.029743,251.210689,42.340084,86.893319,226.742509
920,23.182218,256.596844,42.687745,87.882927,230.901579
940,23.317071,261.972162,43.041497,88.840021,235.002871
960,23.456205,267.359528,43.397757,89.824341,239.248932
980,23.590893,272.736860,43.737823,90.753462,243.413301
1000,23.712224,278.115779,44.113593,91.700529,247.597899
1020,23.846656,283.504772,44.439061,92.645703,251.655610
1040,23.978087,288.883265,44.759290,93.562319,255.721620
1060,24.103665,294.254054,45.079095,94.443734,259.751965
1080,24.220049,299.632514,45.411780,95.290940,263.792016
1100,24.342091,305.005727,45.702443,96.090490,267.786210
1120,24.461937,310.389366,46.004609,96.959926,271.795320
1140,24.584253,315.755025,46.322860,97.807357,275.683794
1160,24.712612,321.137087,46.584997,98.615840,279.770839
1180,24.846242,326.509178,46.866079,99.384103,283.797971
1200,24.983609,331.892955,47.153963,100.117444,287.677273
1220,25.094944,337.264548,47.448284,100.899515,291.619128
1240,25.222820,342.625823,47.725422,101.714268,295.549963
1260,25.344409,348.008187,48.003108,102.488780,299.521703
1280,25.457552,353.377658,48.289704,103.259899,303.213253
1300,25.576938,358.755578,48.566498,104.015044,307.024645
1320,25.694142,364.116124,48.844012,104.745947,310.795511
1340,25.791806,369.489097,49.088966,105.515686,314.578557
1360,25.909697,374.863319,49.320166,106.211340,318.413866
1380,26.023943,380.233769,49.536301,106.959492,322.105002
1400,26.142943,385.615103,49.790178,107.679810,325.966151
1420,26.243571,390.998026,50.036178,108.348521,329.631966
1440,26.349352,396.367300,50.280066,109.050301,333.300476
1460,26.447777,401.760122,50.508556,109.755459,336.885051
1480,26.533723,407.141275,50.744365,110.460702,340.436903
1500,26.626918,412.523377,50.957736,111.130163,344.213647
1520,26.721499,417.904039,51.174608,111.813530,347.806749
1540,26.810050,423.290018,51.406111,112.488828,351.406028
1560,26.912187,428.673313,51.660505,113.158666,355.111968
1580,27.010827,434.046568,51.899790,113.819576,358.605488
1600,27.111478,439.418585,52.136588,114.494888,362.180944
1620,27.215427,444.785786,52.366810,115.179931,365.687952
1640,27.303164,450.149478,52.619401,115.835949,369.200556
1660,27.396953,455.522434,52.866403,116.450530,372.610698
1680,27.478864,460.900500,53.079486,117.079719,376.152928
1700,27.569457,466.286067,53.316360,117.671145,379.613972
